,n_features,log_loss,accuracy,auc
All Features,17.0,0.6235602983920312,0.655,0.7167467948717948
Without Seeds,14.0,0.6544030363897025,0.62,0.6635116185897436
Without WinPct,14.0,0.6278657909869589,0.67,0.7120392628205128
Without Scoring,8.0,0.6324703773334245,0.69,0.7100360576923077
Seeds Only,3.0,0.6280071417567403,0.68,0.7188501602564102
Stats Only,14.0,0.6544030363897025,0.62,0.6635116185897436
