,log_loss,accuracy,auc
Random,0.6931471805599452,0.5,0.5
Majority Class,2.2157078639181043,0.52,0.5
Seed-Only,0.6298354716450889,0.68,0.7231570512820513
Logistic Regression,0.6403542050070758,0.655,0.7131410256410257
XGBoost (Ours),0.6235602983920312,0.655,0.7167467948717948
LightGBM (Ours),0.6313836824819246,0.665,0.7120893429487178
