Feature,Importance
Team1_AvgScoreDiff,0.08310866
Team1_AvgPointsFor,0.07548916
PointsFor_Diff,0.06749972
ScoreDiff_Diff,0.06521161
PointsAgainst_Diff,0.062061004
Team2_AvgPointsAgainst,0.061687108
Team1_Games,0.060946867
WinPct_Diff,0.059887152
Team1_AvgPointsAgainst,0.059388936
Team1_WinPct,0.055889893
Team2_AvgPointsFor,0.0554975
Team2_AvgScoreDiff,0.052840617
Seed_Diff,0.049797304
Team1_Seed,0.048228003
Team2_WinPct,0.047749393
Team2_Games,0.04765701
Team2_Seed,0.047060136
