Feature,Importance
Team1_Seed,0.2470201
Seed_Diff,0.21024162
Team2_Seed,0.10687825
ScoreDiff_Diff,0.08493083
Team1_AvgScoreDiff,0.035347763
Team1_AvgPointsFor,0.03430815
Team2_WinPct,0.033764597
Team2_Games,0.032279287
Team1_WinPct,0.031705797
Team2_AvgScoreDiff,0.029554885
PointsFor_Diff,0.029028514
WinPct_Diff,0.027149793
Team2_AvgPointsFor,0.025286095
Team1_Games,0.022190252
Team1_AvgPointsAgainst,0.021978196
PointsAgainst_Diff,0.017056137
Team2_AvgPointsAgainst,0.011279749
