Feature,Importance
Team1_AvgScoreDiff,124
Team1_AvgPointsFor,112
Team1_AvgPointsAgainst,111
Team2_AvgPointsFor,111
Team2_AvgScoreDiff,104
Team2_WinPct,101
WinPct_Diff,99
ScoreDiff_Diff,93
PointsFor_Diff,90
PointsAgainst_Diff,76
Team2_AvgPointsAgainst,75
Team1_WinPct,72
Team1_Games,54
Seed_Diff,43
Team2_Seed,41
Team2_Games,40
Team1_Seed,29
